"Grandes Regiões e
 Unidades da Federação",TOTAL,AUTOMÓVEL,BONDE,CAMINHÃO,CAMINHÃO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAFORMA,CICLOMOTOR,MICROÔNIBUS,MOTOCICLETA,MOTONETA,ÔNIBUS,QUADRICICLO,REBOQUE,SEMI0REBOQUE,SIDE0CAR,OUTROS,TRATOR ESTEIRA,TRATOR RODAS,TRICICLO,UTILITÁRIO
Brasil,"115,116,532","60,459,290",42,"3,022,315","849,372","9,078,740","4,102,821","1,650","452,778","434,708","25,746,762","5,372,584","688,880",282,"2,119,968","1,226,863","8,576","30,579",234,"36,433","42,421","1,441,234"
Norte,"6,364,215","2,041,283",0,"170,140","38,929","598,203","126,802",165,"16,250","16,262","2,412,216","661,408","49,878",6,"103,155","72,636",439,"1,012",3,383,"5,714","49,331"
Acre,"334,377","101,550",0,"8,180","1,363","32,053","5,009",10,929,445,"140,911","33,569","1,455",0,"4,710","2,086",60,47,0,4,187,"1,809"
Amapá,"232,691","96,391",0,"4,690",568,"26,597","5,406",14,955,517,"74,912","15,706","1,489",0,"1,676","1,793",50,23,0,10,421,"1,473"
Amazonas,"1,069,794","447,417",0,"22,482","4,739","100,927","29,438",37,"2,112","3,730","338,034","80,715","10,555",0,"4,641","15,104",7,103,0,92,"2,168","7,493"
Pará,"2,478,988","717,999",0,"70,953","13,359","198,999","49,931",94,"6,169","7,485","1,058,366","251,820","21,658",2,"34,317","22,625",166,441,1,177,"2,343","22,083"
Rondônia,"1,154,287","330,443",0,"32,833","8,711","121,316","16,314",8,"3,127","1,501","444,046","144,047","7,093",3,"21,295","15,694",40,151,2,51,355,"7,257"
Roraima,"263,345","91,250",0,"6,116","1,403","34,737","6,070",0,986,774,"89,937","23,542","1,416",0,"2,638","2,406",4,37,0,4,83,"1,942"
Tocantins,"830,733","256,233",0,"24,886","8,786","83,574","14,634",2,"1,972","1,810","266,010","112,009","6,212",1,"33,878","12,928",112,210,0,45,157,"7,274"
Nordeste,"20,329,329","7,801,307",3,"512,170","81,308","1,469,084","488,511",548,"206,672","99,752","7,675,932","1,194,807","142,159",17,"282,058","134,606","1,557","2,301",4,"1,503","9,746","225,284"
Alagoas,"1,034,187","416,789",0,"25,534","3,226","66,555","27,052",24,"14,669","7,593","367,410","52,442","9,824",1,"23,560","8,170",49,197,0,112,286,"10,694"
Bahia,"4,887,673","2,095,483",3,"134,003","28,775","439,909","142,053",182,"21,190","32,849","1,519,731","254,792","45,449",4,"73,884","46,351",667,581,3,326,"2,818","48,620"
Ceará,"3,625,994","1,295,534",0,"79,532","11,454","229,813","72,692",111,"11,062","13,210","1,568,945","207,490","19,519",7,"46,728","17,323",333,352,0,248,"1,623","50,018"
Maranhão,"2,031,236","518,149",0,"47,264","7,847","152,431","30,028",66,"11,555","5,762","997,026","201,162","10,936",1,"18,511","13,342",39,188,0,80,491,"16,358"
Paraíba,"1,523,167","608,326",0,"31,517","3,513","99,848","33,778",15,"34,541","5,423","575,516","83,944","8,554",1,"12,242","5,596",28,144,0,44,498,"19,639"
Pernambuco,"3,439,164","1,453,963",0,"97,362","14,612","214,312","104,730",83,"45,970","20,723","1,210,681","142,843","22,305",2,"52,205","23,424",142,271,0,330,"1,708","33,498"
Piauí,"1,385,426","416,316",0,"33,711","4,213","108,629","20,551",30,"6,779","4,790","634,088","116,648","9,128",0,"10,134","6,937",200,127,0,83,"1,250","11,812"
Rio Grande do Norte,"1,495,094","629,118",0,"40,153","4,513","105,628","37,443",19,"29,706","5,786","501,287","76,383","8,093",1,"20,241","9,124",57,298,0,139,587,"26,518"
Sergipe,"907,388","367,629",0,"23,094","3,155","51,959","20,184",18,"31,200","3,616","301,248","59,103","8,351",0,"24,553","4,339",42,143,1,141,485,"8,127"
Sudeste,"55,046,537","32,584,168",24,"1,319,110","353,742","4,040,972","2,269,731",641,"161,820","229,479","9,839,293","1,870,396","316,799",119,"830,452","475,591","3,687","8,096",118,"18,252","18,851","705,196"
Espírito Santo,"2,248,960","1,075,778",0,"80,950","22,205","207,446","72,944",12,"2,270","9,308","514,472","137,012","16,446",2,"41,612","30,147",132,677,14,"2,578","2,560","32,395"
Minas Gerais,"13,028,883","7,018,707",0,"374,274","97,770","1,198,912","423,996",22,"52,219","51,847","2,865,622","356,954","87,574",12,"245,320","113,299","1,424","2,084",48,"2,457","6,553","129,789"
Rio de Janeiro,"7,475,503","4,857,398",0,"149,762","21,616","395,768","346,967",57,"45,602","40,959","1,134,867","222,471","42,667",12,"92,523","25,014",207,"1,024",1,761,"2,817","95,010"
São Paulo,"32,293,191","19,632,285",24,"714,124","212,151","2,238,846","1,425,824",550,"61,729","127,365","5,324,332","1,153,959","170,112",93,"450,997","307,131","1,924","4,311",55,"12,456","6,921","448,002"
