"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"12001 CRUZEIRO DO SUL";105892;109043;112232;115428;118565;121758;124959;128094;131250;134337;137199;139452;141766;143984;146250;148539;150671;152778;154965;157132;159274;161394
"12002 TARAUACA";65472;66714;67971;69230;70466;71724;72986;74221;75465;76682;77809;78696;79609;80482;81376;82278;83117;83947;84810;85664;86508;87344
"12003 SENA MADUREIRA";38839;40254;41686;43122;44530;45963;47401;48809;50226;51612;52897;53908;54947;55943;56961;57989;58946;59892;60875;61847;62809;63762
"12004 RIO BRANCO";326830;337844;348981;360147;371110;382264;393451;404405;415433;426220;436218;444087;452177;459923;467841;475839;483289;490646;498297;505863;513351;520759
"12005 BRASILEIA";45139;46756;48391;50032;51641;53280;54922;56530;58149;59735;61202;62356;63546;64682;65845;67020;68114;69194;70318;71429;72528;73617
"27001 SERRANA DO SERTAO ALAGOANO";91009;91097;91183;91262;91335;91405;91476;91538;91601;91661;91717;91761;91799;91839;91877;91914;91948;91981;92019;92052;92087;92122
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";71921;73167;74366;75500;76544;77541;78501;79392;80272;81102;81862;82440;82999;83536;84055;84562;85028;85477;85957;86428;86886;87332
"27003 SANTANA DO IPANEMA";168322;169193;170037;170829;171562;172263;172938;173559;174179;174762;175294;175699;176089;176467;176830;177186;177512;177830;178166;178496;178818;179130
"27004 BATALHA";89284;89873;90439;90975;91466;91938;92391;92811;93227;93617;93978;94251;94513;94767;95013;95253;95472;95684;95911;96133;96350;96558
"27005 PALMEIRA DOS INDIOS";180993;180857;180722;180596;180480;180371;180263;180166;180065;179974;179890;179826;179764;179704;179647;179590;179539;179489;179435;179383;179333;179283
"27006 ARAPIRACA";377736;383076;388217;393075;397554;401817;405943;409755;413535;417093;420351;422830;425224;427531;429750;431923;433921;435848;437905;439919;441885;443798
"27007 TRAIPU";35884;36222;36545;36851;37132;37401;37660;37902;38139;38362;38567;38724;38874;39022;39160;39297;39422;39542;39673;39799;39923;40044
"27008 SERRANA DOS QUILOMBOS";146650;147096;147526;147932;148307;148663;149006;149326;149640;149938;150211;150419;150617;150812;150995;151178;151344;151506;151676;151846;152009;152170
"27009 MATA ALAGOANA";288992;291459;293839;296082;298153;300123;302030;303792;305539;307181;308688;309834;310941;312009;313032;314038;314961;315852;316802;317733;318641;319527
"27010 LITORAL NORTE ALAGOANO";60679;61655;62597;63484;64302;65081;65836;66533;67225;67875;68470;68923;69359;69782;70189;70586;70951;71303;71679;72047;72407;72756
"27011 MACEIO";999768;1020867;1041190;1060383;1078080;1094935;1111226;1126293;1141231;1155280;1168161;1177954;1187418;1196530;1205290;1213887;1221779;1229390;1237524;1245479;1253244;1260804
"27012 SAO MIGUEL DOS CAMPOS";257328;261614;265740;269634;273227;276649;279956;283016;286048;288900;291516;293502;295424;297275;299053;300798;302401;303947;305597;307213;308789;310323
"27013 PENEDO";119990;120920;121817;122663;123444;124188;124905;125570;126230;126850;127417;127850;128267;128670;129055;129437;129783;130119;130476;130829;131171;131504
"13001 RIO NEGRO";76072;78411;80657;82840;84963;87141;89382;91631;93899;96183;98398;100514;102674;104856;107083;109304;111404;113479;115590;117676;119734;121764
"13002 JAPURA";30406;29876;29367;28872;28392;27898;27390;26881;26367;25849;25347;24868;24378;23884;23379;22876;22400;21930;21451;20979;20512;20053
"13003 ALTO SOLIMOES";201532;204362;207079;209719;212289;214922;217633;220356;223099;225862;228543;231103;233716;236356;239052;241737;244278;246789;249343;251867;254355;256812
"13004 JURUA";104735;107423;110001;112509;114951;117451;120024;122609;125214;127837;130383;132812;135295;137803;140363;142912;145324;147707;150133;152530;154894;157225
"13005 TEFE";88865;88896;88927;88957;88986;89015;89045;89077;89106;89139;89168;89197;89226;89256;89285;89316;89344;89373;89401;89430;89457;89485
"13006 COARI";125149;128296;131316;134254;137110;140038;143053;146079;149131;152204;155184;158028;160936;163873;166870;169856;172680;175472;178314;181118;183887;186618
"13007 MANAUS";1630478;1677584;1722782;1766757;1809517;1853333;1898462;1943750;1989428;2035412;2080024;2122613;2166118;2210070;2254924;2299619;2341911;2383676;2426207;2468200;2509626;2550499
"13008 RIO PRETO DA EVA";35783;37686;39512;41289;43016;44786;46609;48439;50284;52142;53944;55665;57422;59197;61010;62815;64523;66211;67929;69626;71299;72951
"13009 ITACOATIARA";126031;129071;131989;134827;137587;140415;143328;146249;149199;152166;155045;157794;160602;163439;166334;169219;171947;174643;177387;180099;182772;185410
"13010 PARINTINS";208844;212894;216781;220562;224239;228006;231887;235780;239709;243661;247498;251160;254901;258680;262537;266380;270016;273607;277264;280875;284437;287952
"13011 BOCA DO ACRE";45173;45654;46117;46566;47003;47450;47912;48374;48841;49311;49767;50203;50646;51096;51554;52012;52443;52870;53305;53734;54157;54574
"13012 PURUS";61679;62645;63572;64473;65350;66248;67174;68102;69039;69981;70896;71769;72661;73562;74481;75399;76266;77122;77994;78854;79704;80542
"13013 MADEIRA";133446;137167;140736;144210;147587;151047;154611;158187;161796;165427;168951;172314;175751;179221;182764;186295;189635;192933;196293;199609;202880;206110
"16001 OIAPOQUE";20363;21416;22457;23501;24529;25521;26528;27528;28540;29575;30599;31483;32335;33198;34090;34978;35852;36709;37553;38387;39212;40027
"16002 AMAPA";17157;17998;18828;19661;20482;21274;22077;22877;23683;24509;25327;26033;26712;27402;28114;28821;29520;30204;30877;31544;32202;32852
"16003 MACAPA";406744;423176;439397;455676;471704;487191;502875;518484;534254;550397;566369;580153;593435;606901;620811;634652;648286;661649;674807;687827;700690;713392
"16004 MAZAGAO";50929;53094;55232;57377;59490;61531;63599;65655;67734;69862;71966;73784;75533;77308;79141;80965;82761;84522;86257;87973;89669;91342
"29001 BARREIRAS";212034;222934;232881;242361;251177;259295;266596;273261;279878;286321;292167;298333;304330;309890;315208;320742;326051;331318;336810;342084;347122;351906
"29002 COTEGIPE";113298;113772;114207;114618;115002;115356;115674;115967;116254;116533;116789;117058;117320;117560;117792;118034;118266;118495;118732;118963;119183;119389
"29003 SANTA MARIA DA VITORIA";183484;183397;183316;183242;183167;183105;183046;182992;182938;182887;182838;182789;182742;182697;182655;182609;182568;182525;182481;182440;182396;182359
"29004 JUAZEIRO";417854;424077;429754;435165;440198;444835;449006;452808;456587;460267;463604;467123;470548;473721;476759;479917;482952;485959;489091;492105;494980;497712
"29005 PAULO AFONSO";152899;155292;157473;159551;161484;163263;164865;166328;167780;169190;170474;171826;173141;174362;175528;176739;177904;179061;180265;181421;182526;183575
"29006 BARRA";164162;165694;167093;168429;169667;170811;171837;172776;173706;174611;175435;176301;177145;177926;178677;179458;180204;180942;181717;182458;183168;183842
"29007 BOM JESUS DA LAPA";162473;163970;165333;166635;167844;168955;169958;170874;171782;172665;173470;174314;175137;175899;176628;177388;178116;178838;179592;180315;181009;181665
"29008 SENHOR DO BONFIM";276829;278942;280866;282704;284415;285985;287400;288690;289972;291222;292354;293547;294708;295786;296818;297890;298916;299939;301001;302022;302999;303928
"29009 IRECE";359043;361991;364680;367248;369631;371827;373799;375604;377391;379137;380717;382384;384006;385511;386947;388446;389882;391304;392793;394218;395582;396878
"29010 JACOBINA";325088;326191;327193;328154;329043;329865;330599;331275;331939;332591;333181;333803;334406;334974;335507;336066;336607;337138;337692;338225;338733;339215
"29011 ITABERABA";253926;253969;254003;254040;254068;254099;254124;254147;254172;254195;254214;254237;254261;254278;254298;254314;254335;254355;254374;254393;254407;254429
"29012 FEIRA DE SANTANA";917314;929989;941560;952579;962831;972269;980760;988511;996204;1003698;1010496;1017662;1024639;1031100;1037286;1043722;1049892;1056019;1062410;1068539;1074399;1079960
"29013 JEREMOABO";107786;106900;106091;105320;104602;103942;103350;102810;102274;101751;101275;100777;100287;99835;99405;98958;98526;98098;97652;97224;96814;96427
"29014 EUCLIDES DA CUNHA";294236;294936;295573;296183;296749;297267;297737;298166;298590;299003;299379;299773;300158;300514;300857;301211;301549;301889;302244;302581;302905;303209
"29015 RIBEIRA DO POMBAL";308467;310597;312539;314392;316113;317701;319129;320429;321722;322979;324123;325326;326501;327586;328624;329707;330741;331773;332846;333876;334859;335794
"29016 SERRINHA";395904;399542;402860;406021;408964;411671;414109;416334;418542;420693;422643;424702;426701;428557;430332;432177;433949;435710;437541;439299;440982;442578
"29017 ALAGOINHAS";284461;288038;291297;294404;297292;299956;302349;304535;306701;308815;310732;312754;314718;316541;318285;320098;321840;323564;325366;327094;328745;330311
"29018 ENTRE RIOS";106107;107678;109112;110479;111748;112921;113972;114936;115890;116819;117659;118548;119414;120215;120983;121782;122548;123307;124097;124858;125586;126276
"29019 CATU";195453;198321;200940;203437;205755;207893;209813;211567;213308;215004;216544;218165;219746;221208;222609;224064;225462;226849;228293;229682;231007;232268
"29020 SANTO ANTONIO DE JESUS";516918;521600;525872;529947;533734;537221;540358;543221;546063;548830;551342;553991;556570;558954;561242;563617;565900;568160;570519;572784;574951;577003
"29021 SALVADOR";3095999;3154915;3208662;3259899;3307526;3351394;3390861;3426873;3462637;3497454;3529052;3562363;3594781;3624822;3653566;3683467;3712163;3740628;3770310;3798807;3826038;3851881
