"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";3;4;7;5;1;1;-;-;3;1;4;3;2;-;1;3;3;3;4;3;4;1;6;62
"12002 TARAUACA";-;1;-;1;1;-;-;1;1;-;-;3;3;-;3;1;2;1;-;3;1;1;-;23
"12003 SENA MADUREIRA";4;-;1;1;2;-;1;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"12004 RIO BRANCO";32;38;27;15;21;8;16;6;1;1;1;5;16;11;15;11;7;7;10;8;1;3;6;266
"12005 BRASILEIA";-;1;3;3;-;2;2;1;1;1;2;-;2;1;-;-;-;1;-;-;-;-;1;21
"Ignorado - AC";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"27001 SERRANA DO SERTAO ALAGOANO";1;-;-;2;9;4;4;3;4;6;3;3;3;2;-;4;-;3;3;9;2;3;2;70
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";1;6;6;5;5;10;3;5;2;4;3;3;3;2;-;2;1;1;2;2;3;2;1;72
"27003 SANTANA DO IPANEMA";4;3;9;10;5;12;5;14;5;9;18;5;7;2;-;5;1;2;7;4;6;8;2;143
"27004 BATALHA";2;2;7;12;7;2;7;4;5;8;6;2;2;2;-;-;-;1;3;4;4;2;1;83
"27005 PALMEIRA DOS INDIOS";18;9;16;5;9;21;13;8;5;12;7;6;4;7;3;3;7;7;4;4;5;10;7;190
"27006 ARAPIRACA";40;39;39;32;32;31;26;31;25;30;34;24;12;11;9;5;10;20;17;11;19;18;9;524
"27007 TRAIPU";1;3;-;-;1;3;-;1;1;2;-;1;-;2;-;1;1;1;1;-;-;4;-;23
"27008 SERRANA DOS QUILOMBOS";18;8;12;6;3;8;6;17;2;5;5;9;5;2;2;2;3;2;2;1;4;5;5;132
"27009 MATA ALAGOANA";28;39;42;18;17;16;16;24;21;10;11;15;8;8;7;2;5;8;14;7;4;12;9;341
"27010 LITORAL NORTE ALAGOANO";6;15;6;3;3;3;4;1;1;1;-;1;3;3;3;-;1;1;-;2;2;3;2;64
"27011 MACEIO";146;174;143;86;94;111;83;100;41;51;32;44;52;32;27;19;6;25;31;16;27;22;24;1386
"27012 SAO MIGUEL DOS CAMPOS";35;29;42;16;14;19;27;22;10;16;14;10;9;9;5;3;-;13;7;7;6;9;8;330
"27013 PENEDO";11;8;11;12;14;8;12;8;3;10;10;2;7;1;-;2;2;3;3;4;4;3;1;139
"Ignorado - AL";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"13001 RIO NEGRO";2;2;1;1;-;1;1;1;1;5;4;2;3;1;3;1;1;-;-;5;3;2;1;41
"13002 JAPURA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"13003 ALTO SOLIMOES";-;2;1;2;2;4;1;1;2;3;4;1;5;4;2;1;-;1;-;1;3;2;2;44
"13004 JURUA";3;-;-;1;3;1;-;1;1;1;-;2;1;1;1;-;2;2;1;3;3;4;-;31
"13005 TEFE";-;-;2;-;3;3;4;2;2;3;1;-;-;3;1;2;3;1;-;1;1;-;1;33
"13006 COARI";2;1;-;4;4;4;2;4;1;1;4;1;3;2;1;-;-;-;1;-;2;3;4;44
"13007 MANAUS";125;112;117;134;116;118;141;120;108;103;151;172;128;137;116;113;98;86;115;95;87;78;104;2674
"13008 RIO PRETO DA EVA";6;4;6;3;8;3;3;1;7;5;4;7;2;3;3;4;2;4;3;1;1;1;2;83
"13009 ITACOATIARA";1;3;3;2;5;4;5;1;2;1;2;4;6;5;5;3;8;3;2;-;2;7;3;77
"13010 PARINTINS";2;2;7;1;4;1;2;2;1;3;5;3;8;2;7;5;6;3;4;3;-;2;1;74
"13011 BOCA DO ACRE";1;-;-;1;-;-;1;-;1;2;1;1;1;-;1;-;-;-;1;2;-;1;-;14
"13012 PURUS";1;-;-;-;-;-;1;-;-;-;-;-;-;2;2;1;2;-;1;-;1;2;2;15
"13013 MADEIRA";1;-;3;4;2;1;-;1;1;4;5;4;1;4;3;-;2;2;2;1;2;9;1;53
"Ignorado - AM";-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;1;-;1;1;7
"16001 OIAPOQUE";3;-;-;1;2;-;1;-;-;1;-;5;-;1;-;1;1;-;-;3;-;1;2;22
"16002 AMAPA";-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;-;-;3;-;-;-;-;-;9
"16003 MACAPA";33;94;82;87;73;81;56;2;5;-;1;10;8;11;27;12;15;16;21;12;6;12;8;672
"16004 MAZAGAO";-;4;7;2;3;6;3;1;3;1;2;-;1;-;2;1;2;3;-;-;2;2;-;45
"29001 BARREIRAS";3;8;6;3;5;4;6;-;-;2;-;-;-;-;1;-;-;3;8;8;7;6;8;78
"29002 COTEGIPE";1;2;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;2;2;2;20
"29003 SANTA MARIA DA VITORIA";2;3;9;3;8;4;4;1;2;6;5;3;5;1;-;3;-;1;3;3;4;4;5;79
"29004 JUAZEIRO";24;11;18;11;11;14;6;6;14;7;5;10;6;10;13;4;7;10;12;14;9;9;7;238
"29005 PAULO AFONSO";8;2;4;1;3;3;6;5;5;1;4;2;4;2;5;5;1;4;-;4;2;1;2;74
"29006 BARRA";2;1;-;1;7;3;4;3;-;1;4;3;4;4;3;-;1;6;1;3;2;3;4;60
"29007 BOM JESUS DA LAPA";1;2;1;4;8;3;6;2;5;3;4;4;3;-;3;-;2;3;3;4;-;3;6;70
"29008 SENHOR DO BONFIM";5;4;13;1;1;2;4;1;-;2;7;1;7;11;13;11;5;1;4;6;2;2;9;112
"29009 IRECE";2;4;7;5;2;1;2;9;11;8;5;11;11;13;8;16;10;7;7;11;7;9;6;172
"29010 JACOBINA";9;8;9;8;8;15;13;8;6;5;10;4;10;10;9;2;8;11;4;4;-;8;4;173
"29011 ITABERABA";-;3;7;2;9;10;5;4;7;4;1;2;6;3;-;3;1;3;3;5;2;4;6;90
"29012 FEIRA DE SANTANA";21;23;21;10;8;24;31;39;29;20;42;26;22;19;10;10;6;11;10;12;7;8;10;419
"29013 JEREMOABO";1;2;1;1;-;-;1;3;3;2;1;3;1;1;1;-;1;-;1;1;-;-;-;24
"29014 EUCLIDES DA CUNHA";7;2;5;2;4;4;8;3;3;4;6;7;9;8;15;6;2;8;4;11;4;6;4;132
"29015 RIBEIRA DO POMBAL";8;6;10;9;6;4;10;13;8;13;14;12;11;13;14;8;10;5;12;9;12;8;7;222
"29016 SERRINHA";3;5;6;-;4;6;8;9;9;7;7;4;11;6;6;3;1;5;1;-;5;1;2;109
"29017 ALAGOINHAS";8;8;11;13;8;9;14;16;9;13;19;23;18;23;13;10;15;9;7;10;7;8;11;282
"29018 ENTRE RIOS";5;6;2;6;5;7;6;7;8;4;6;4;7;5;3;3;3;1;3;-;1;3;2;97
"29019 CATU";3;10;7;3;8;11;11;7;8;8;15;12;6;7;9;2;11;1;3;5;4;4;1;156
"29020 SANTO ANTONIO DE JESUS";14;8;10;10;6;18;24;17;11;23;26;11;24;12;11;11;13;4;12;7;8;5;13;298
"29021 SALVADOR";29;73;80;88;56;191;176;170;61;68;176;176;159;148;138;105;80;84;67;60;64;55;52;2356
"29022 BOQUIRA";4;3;1;4;3;4;3;2;3;5;2;2;7;3;-;-;3;5;-;6;3;-;3;66
