"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"12002 TARAUACA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"12003 SENA MADUREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"12004 RIO BRANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"12005 BRASILEIA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"27004 BATALHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"27005 PALMEIRA DOS INDIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"27006 ARAPIRACA";-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;9
"27009 MATA ALAGOANA";-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;7
"27010 LITORAL NORTE ALAGOANO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"27011 MACEIO";-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;4;1;-;1;-;-;9
"27012 SAO MIGUEL DOS CAMPOS";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;3;-;-;-;15
"27013 PENEDO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"13001 RIO NEGRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"13007 MANAUS";3;7;2;4;1;1;1;-;2;1;3;1;1;2;11;1;-;-;1;1;-;1;2;46
"13009 ITACOATIARA";8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"Ignorado - AM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"16003 MACAPA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3
"29001 BARREIRAS";-;-;1;-;1;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;2;10
"29003 SANTA MARIA DA VITORIA";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"29004 JUAZEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"29005 PAULO AFONSO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;5
"29006 BARRA";1;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"29007 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"29008 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;3
"29009 IRECE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3
"29010 JACOBINA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"29011 ITABERABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;5
"29012 FEIRA DE SANTANA";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"29014 EUCLIDES DA CUNHA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;5
"29015 RIBEIRA DO POMBAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;4
"29016 SERRINHA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"29017 ALAGOINHAS";-;-;-;1;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"29019 CATU";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"29020 SANTO ANTONIO DE JESUS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3
"29021 SALVADOR";3;-;1;1;3;4;2;3;-;1;2;4;4;7;2;3;3;1;1;1;1;1;4;52
"29023 SEABRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"29024 JEQUIE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"29026 GUANAMBI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;4;-;1;2;10
"29027 BRUMADO";-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3
"29028 VITORIA DA CONQUISTA";-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;3;1;-;-;-;-;-;8
"29029 ITAPETINGA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"29030 VALENCA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"29031 ILHEUS-ITABUNA";-;-;-;-;-;1;-;1;-;-;7;-;-;-;4;-;-;1;-;5;-;6;-;25
"29032 PORTO SEGURO";1;-;1;-;-;5;-;1;1;2;-;-;6;-;-;-;-;-;-;-;-;4;-;21
"Ignorado - BA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23001 LITORAL DE CAMOCIM E ACARAU";1;-;-;1;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;-;-;7
"23002 IBIAPABA";-;1;-;-;-;-;-;-;1;-;1;1;1;1;-;-;3;1;-;-;1;-;-;11
"23003 COREAU";1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"23005 SOBRAL";-;-;1;-;-;-;9;1;-;1;-;-;-;-;-;-;4;-;1;-;-;1;-;18
"23006 IPU";1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3
"23007 SANTA QUITERIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23008 ITAPIPOCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"23009 BAIXO CURU";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23012 CANINDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"23014 CHOROZINHO";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"23015 CASCAVEL";1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"23016 FORTALEZA";5;-;1;-;1;1;1;2;1;-;-;-;-;-;5;2;3;1;1;-;-;-;1;25
"23017 PACAJUS";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23018 SERTAO DE CRATEUS";-;-;1;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;6
"23019 SERTAO DE QUIXERAMOBIM";-;-;-;-;-;-;-;-;1;-;-;-;-;-;9;-;-;-;-;-;-;-;-;10
"23020 SERTAO DE INHAMUNS";-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;5
"23021 SERTAO DE SENADOR POMPEU";1;-;-;-;3;4;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"23022 LITORAL DE ARACATI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23023 BAIXO JAGUARIBE";-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;5
"23026 IGUATU";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;4
"23027 VARZEA ALEGRE";-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"23028 LAVRAS DA MANGABEIRA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"23029 CHAPADA DO ARARIPE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23030 CARIRIACU";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"23031 BARRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"23032 CARIRI";-;-;2;2;1;1;-;2;1;3;-;-;2;-;1;-;-;1;-;-;-;-;-;16
"Ignorado - CE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"53001 BRASILIA";-;7;2;4;2;1;2;4;1;4;5;1;3;4;1;4;-;1;2;3;1;3;-;55
"32002 NOVA VENECIA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"32003 COLATINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;3
"32004 MONTANHA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"32005 SAO MATEUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;8
"32006 LINHARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;1;7
"32007 AFONSO CLAUDIO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"32008 SANTA TERESA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"32009 VITORIA";2;1;-;4;-;3;-;1;2;1;1;-;1;1;2;2;1;1;4;-;-;-;-;27
"32010 GUARAPARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"32011 ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;3
"32012 CACHOEIRO DE ITAPEMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"32013 ITAPEMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"52001 SAO MIGUEL DO ARAGUAIA";-;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"52002 RIO VERMELHO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"52003 ARAGARCAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;5
"52004 PORANGATU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"52005 CHAPADA DOS VEADEIROS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"52006 CERES";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"52007 ANAPOLIS";-;-;-;-;-;2;-;-;-;-;-;-;2;-;1;2;-;1;-;1;2;-;1;12
"52009 ANICUNS";-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"52010 GOIANIA";2;1;-;2;3;3;4;1;2;1;1;6;3;4;4;4;3;1;2;5;3;1;2;58
"52012 ENTORNO DE BRASILIA";-;-;-;8;2;-;-;1;1;1;2;2;-;1;-;1;2;4;1;1;-;1;1;29
"52013 SUDOESTE DE GOIAS";-;1;2;-;19;-;-;-;-;-;10;-;1;-;1;-;2;-;-;-;-;-;-;36
"52014 VALE DO RIO DOS BOIS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"52015 MEIA PONTE";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;4
"52016 PIRES DO RIO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"52017 CATALAO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"21001 LITORAL OCIDENTAL MARANHENSE";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"21002 AGLOMERACAO URBANA DE SAO LUIS";-;1;-;1;2;1;1;-;2;4;2;-;-;-;-;1;1;1;-;-;-;1;2;20
"21003 ROSARIO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"21004 LENCOIS MARANHENSES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"21005 BAIXADA MARANHENSE";-;-;1;-;4;10;-;3;1;-;-;1;2;-;-;-;1;-;1;-;-;-;-;24
"21006 ITAPECURU MIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"21007 GURUPI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"21008 PINDARE";-;-;-;-;1;1;-;6;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"21009 IMPERATRIZ";1;-;-;-;10;2;3;-;-;4;-;-;-;1;2;-;-;-;-;1;-;3;1;28
"21010 MEDIO MEARIM";-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;2;1;-;-;2;-;-;-;9
"21011 ALTO MEARIM E GRAJAU";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;2;-;6
"21012 PRESIDENTE DUTRA";-;-;-;-;-;-;2;1;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;7
"21013 BAIXO PARNAIBA MARANHENSE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"21014 CHAPADINHA";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"21015 CODO";-;-;-;-;-;2;-;-;-;-;2;-;1;-;1;1;-;-;-;-;-;-;-;7
"21016 COELHO NETO";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"21017 CAXIAS";-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;2;-;1;1;1;2;-;11
"21018 CHAPADAS DO ALTO ITAPECURU";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;4
"21019 PORTO FRANCO";-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;5
"21020 GERAIS DE BALSAS";-;-;-;1;1;-;-;-;-;1;-;-;1;1;-;1;1;3;-;1;1;5;5;22
"21021 CHAPADAS DAS MANGABEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;1;6
"31001 UNAI";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"31002 PARACATU";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;5
"31003 JANUARIA";-;-;1;-;-;-;4;-;-;2;-;4;-;-;-;-;-;-;-;-;-;-;2;13
"31004 JANAUBA";-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;5
"31005 SALINAS";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"31006 PIRAPORA";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"31007 MONTES CLAROS";-;-;-;-;-;2;4;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;10
"31011 CAPELINHA";-;-;-;-;-;1;8;10;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;20
"31012 ARACUAI";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;5;4;1;1;-;-;-;-;13
"31013 PEDRA AZUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;5
"31014 ALMENARA";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"31015 TEOFILO OTONI";-;-;-;-;-;2;-;-;-;1;-;9;1;-;-;-;-;3;5;-;-;-;-;21
"31016 NANUQUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"31017 ITUIUTABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"31018 UBERLANDIA";-;-;-;3;2;1;2;2;-;-;1;-;1;-;2;1;-;1;-;2;-;-;1;19
"31019 PATROCINIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31020 PATOS DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;4
"31021 FRUTAL";-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;3;-;-;-;-;-;7
"31022 UBERABA";-;-;-;5;-;1;-;-;-;-;1;-;1;-;1;-;2;-;-;-;1;-;1;13
"31023 ARAXA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;4
"31024 TRES MARIAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31025 CURVELO";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31026 BOM DESPACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
