"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";2;1;1;4;-;5;4;7;-;3;1;3;2;3;7;2;-;2;-;1;1;1;1;51
"12002 TARAUACA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;4
"12003 SENA MADUREIRA";-;2;-;-;-;-;-;-;-;-;-;3;4;1;1;1;-;1;-;-;-;-;-;13
"12004 RIO BRANCO";25;22;3;2;3;6;8;1;4;1;2;5;10;4;10;9;9;11;4;7;4;1;3;154
"12005 BRASILEIA";-;-;1;2;2;1;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"27001 SERRANA DO SERTAO ALAGOANO";2;1;-;2;3;-;1;-;-;1;-;1;-;-;1;-;-;1;5;1;7;3;3;32
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";5;9;1;1;2;1;-;-;2;4;-;2;-;2;4;-;2;1;4;4;4;5;3;56
"27003 SANTANA DO IPANEMA";4;3;2;5;2;5;-;-;2;2;-;2;7;5;5;-;2;9;2;6;4;6;1;74
"27004 BATALHA";2;3;1;2;-;1;6;2;1;-;1;1;4;-;-;-;2;7;5;-;3;2;6;49
"27005 PALMEIRA DOS INDIOS";6;4;3;4;2;1;2;4;-;6;2;7;1;3;-;-;1;9;3;7;7;6;6;84
"27006 ARAPIRACA";12;11;27;19;7;4;6;16;2;7;6;6;5;4;1;6;5;14;9;13;18;10;15;223
"27007 TRAIPU";-;-;-;3;-;-;-;2;1;2;-;-;-;3;-;-;-;2;1;-;-;3;-;17
"27008 SERRANA DOS QUILOMBOS";3;-;5;1;-;2;1;3;1;8;1;2;-;1;1;-;-;3;7;5;2;3;2;51
"27009 MATA ALAGOANA";19;7;2;2;5;3;4;3;-;1;2;1;2;2;1;2;2;16;12;2;7;7;16;118
"27010 LITORAL NORTE ALAGOANO";1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;2;6;-;15
"27011 MACEIO";25;22;12;10;16;8;7;10;11;9;2;7;11;4;3;6;3;30;26;9;21;20;28;300
"27012 SAO MIGUEL DOS CAMPOS";9;10;7;2;2;3;3;-;2;4;2;5;2;5;1;-;1;19;8;6;10;4;3;108
"27013 PENEDO";3;3;3;1;3;2;-;2;-;-;1;-;1;1;-;1;-;6;2;7;1;4;1;42
"Ignorado - AL";1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"13001 RIO NEGRO";-;-;-;-;-;-;-;2;-;-;1;-;2;-;-;-;-;2;-;-;1;1;1;10
"13003 ALTO SOLIMOES";1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;1;-;6
"13004 JURUA";-;-;-;1;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"13005 TEFE";-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"13006 COARI";1;-;1;-;-;-;1;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"13007 MANAUS";47;38;40;31;24;23;29;33;37;38;47;37;44;44;48;62;45;32;40;36;33;44;41;893
"13008 RIO PRETO DA EVA";3;2;-;2;3;1;2;1;-;6;3;5;-;2;5;3;5;-;3;2;1;-;-;49
"13009 ITACOATIARA";2;1;1;8;-;1;2;1;2;2;3;3;4;7;1;2;6;1;9;3;2;1;3;65
"13010 PARINTINS";-;-;-;1;-;-;3;3;3;1;2;-;-;-;2;-;-;-;-;2;1;-;-;18
"13011 BOCA DO ACRE";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5
"13012 PURUS";-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;4
