"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;1;-;-;-;7
"12002 TARAUACA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
"12003 SENA MADUREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"12004 RIO BRANCO";-;-;-;-;-;-;2;-;-;-;-;-;1;1;1;3;2;1;2;-;-;1;-;14
"12005 BRASILEIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"27001 SERRANA DO SERTAO ALAGOANO";2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";1;-;-;-;1;1;-;1;1;-;-;-;-;-;2;-;-;-;1;-;1;1;1;11
"27003 SANTANA DO IPANEMA";4;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"27004 BATALHA";-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"27005 PALMEIRA DOS INDIOS";2;-;2;-;-;-;1;-;-;1;1;-;-;2;-;-;-;1;-;-;2;-;2;14
"27006 ARAPIRACA";2;1;2;5;8;-;-;-;-;-;2;-;1;4;1;1;2;2;1;3;2;2;2;41
"27008 SERRANA DOS QUILOMBOS";1;5;2;1;1;2;1;1;-;-;-;-;1;-;-;-;-;6;-;-;2;2;-;25
"27009 MATA ALAGOANA";2;4;1;4;1;1;1;-;-;-;-;-;-;-;-;-;-;3;4;-;1;2;2;26
"27010 LITORAL NORTE ALAGOANO";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"27011 MACEIO";15;17;10;3;-;3;3;3;2;-;-;-;1;-;3;-;2;3;1;1;7;5;2;81
"27012 SAO MIGUEL DOS CAMPOS";5;3;-;2;2;1;-;1;-;-;-;2;-;1;3;-;-;2;1;-;2;2;1;28
"27013 PENEDO";2;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;2;11
"13001 RIO NEGRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"13003 ALTO SOLIMOES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"13005 TEFE";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"13006 COARI";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"13007 MANAUS";4;3;3;2;1;1;3;-;-;-;5;3;2;4;2;1;-;2;-;1;4;4;3;48
"13008 RIO PRETO DA EVA";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"13009 ITACOATIARA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"13010 PARINTINS";-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;1;5
"13011 BOCA DO ACRE";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"13013 MADEIRA";1;-;-;-;-;-;-;-;-;1;-;1;5;-;1;-;-;2;-;-;-;-;-;11
"16002 AMAPA";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"16003 MACAPA";2;2;-;-;2;-;1;-;1;3;-;-;-;-;-;-;-;4;1;-;-;-;-;16
"16004 MAZAGAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"29001 BARREIRAS";-;-;-;-;3;1;1;1;1;2;-;-;-;-;1;-;1;1;5;2;1;3;2;25
"29002 COTEGIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;4
"29003 SANTA MARIA DA VITORIA";-;-;-;-;1;1;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;8
"29004 JUAZEIRO";1;2;-;1;1;-;-;-;2;-;-;-;2;2;2;2;-;1;-;1;1;1;-;19
"29005 PAULO AFONSO";-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;1;-;6
"29006 BARRA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;3
"29007 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;1;1;2;-;1;-;-;-;1;-;-;-;1;-;7
"29008 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;3;-;-;3;9
"29009 IRECE";-;-;-;-;2;-;2;2;-;1;1;1;1;1;-;2;-;2;-;-;-;1;1;17
"29010 JACOBINA";-;2;1;-;3;3;1;-;1;1;-;-;1;-;-;2;-;-;3;-;-;-;2;20
"29011 ITABERABA";-;-;-;-;-;4;-;-;-;-;-;1;1;-;-;1;1;-;-;1;1;1;-;11
"29012 FEIRA DE SANTANA";-;1;1;1;2;3;2;-;1;1;3;1;1;1;-;1;1;1;3;3;3;6;1;37
"29013 JEREMOABO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;5
