"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";5;3;-;3;-;1;4;2;7;5;12;11;7;10;8;12;12;9;5;8;9;9;7;149
"12002 TARAUACA";-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;2;-;1;3;5;5;6;1;27
"12003 SENA MADUREIRA";-;1;2;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;2;1;1;12
"12004 RIO BRANCO";11;10;10;3;5;4;2;2;-;-;-;1;33;30;22;20;20;29;18;19;17;17;11;284
"12005 BRASILEIA";-;-;1;1;-;2;1;-;2;-;1;1;2;1;-;3;1;1;1;-;3;-;-;21
"27001 SERRANA DO SERTAO ALAGOANO";1;1;1;6;2;3;7;4;5;2;3;2;4;1;5;-;7;11;16;12;17;12;16;138
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";-;1;3;2;3;1;2;7;9;6;7;7;6;3;1;1;4;15;8;7;9;14;17;133
"27003 SANTANA DO IPANEMA";2;4;3;4;4;4;6;16;14;10;8;9;10;7;2;9;9;28;24;23;36;31;19;282
"27004 BATALHA";2;1;3;3;5;6;5;9;7;6;4;5;4;5;2;4;9;14;15;19;14;17;14;173
"27005 PALMEIRA DOS INDIOS";3;1;9;5;6;9;8;7;9;8;12;10;11;9;5;1;9;21;29;25;22;27;31;277
"27006 ARAPIRACA";12;7;18;19;28;34;37;47;32;48;44;33;24;26;7;10;32;67;85;81;78;98;79;946
"27007 TRAIPU";-;-;1;-;-;-;3;2;5;1;4;-;2;2;-;-;1;6;2;4;5;3;6;47
"27008 SERRANA DOS QUILOMBOS";-;1;3;1;1;3;6;8;-;5;2;6;7;11;5;2;5;17;23;7;25;15;13;166
"27009 MATA ALAGOANA";2;-;-;6;2;4;6;1;-;-;5;5;10;20;4;11;7;25;30;10;33;19;18;218
"27010 LITORAL NORTE ALAGOANO";-;-;-;-;-;3;3;-;-;-;2;2;2;2;1;4;3;9;10;5;13;12;13;84
"27011 MACEIO";5;9;9;13;18;23;18;11;16;14;14;21;21;34;19;14;15;64;59;37;91;62;86;673
"27012 SAO MIGUEL DOS CAMPOS";2;8;6;7;12;10;4;9;11;13;10;11;16;13;6;4;11;28;33;37;36;28;40;355
"27013 PENEDO";2;-;4;4;3;3;6;8;8;5;9;7;12;9;1;3;3;27;20;21;18;11;14;198
"13001 RIO NEGRO";1;2;-;-;2;3;1;2;1;4;3;1;4;2;4;5;3;8;4;8;3;3;3;67
"13002 JAPURA";-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;2;-;1;1;-;7
"13003 ALTO SOLIMOES";3;1;1;3;5;6;3;9;4;12;4;3;7;6;9;5;5;5;6;4;3;11;5;120
"13004 JURUA";1;-;-;1;2;5;1;3;1;4;2;3;2;1;1;-;2;1;4;5;5;4;3;51
"13005 TEFE";1;1;4;-;5;3;2;3;2;2;3;3;6;2;4;3;5;2;4;2;-;2;7;66
"13006 COARI";2;-;2;3;-;-;1;2;7;4;5;4;4;6;2;5;1;9;1;4;9;8;3;82
"13007 MANAUS";47;40;30;24;26;44;32;39;52;37;60;58;67;76;95;124;120;146;121;115;151;135;156;1795
"13008 RIO PRETO DA EVA";1;1;1;1;-;1;1;-;1;2;-;2;4;5;2;-;6;3;6;7;3;3;6;56
"13009 ITACOATIARA";4;3;3;4;7;4;8;3;4;8;1;8;8;13;9;12;14;13;16;9;15;11;12;189
"13010 PARINTINS";2;4;3;4;6;10;7;6;6;10;3;8;7;13;16;5;16;9;10;10;10;10;11;186
"13011 BOCA DO ACRE";-;1;-;-;3;-;-;1;1;-;-;5;2;1;3;3;2;4;5;4;3;3;2;43
"13012 PURUS";-;-;-;1;1;-;-;2;1;-;2;2;2;5;2;2;2;2;9;9;5;6;5;58
"13013 MADEIRA";-;1;2;2;3;3;6;7;5;9;9;15;9;6;15;12;11;10;15;8;12;9;12;181
"Ignorado - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"16001 OIAPOQUE";-;-;-;-;-;-;2;1;-;1;2;4;1;-;1;1;4;-;2;2;3;-;1;25
"16002 AMAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;4
"16003 MACAPA";2;2;3;4;9;2;9;3;2;7;2;-;3;7;38;22;29;30;19;16;34;22;26;291
"16004 MAZAGAO";-;-;-;-;-;-;-;-;1;3;1;-;2;-;1;2;2;3;-;2;4;5;4;30
"29001 BARREIRAS";-;4;2;5;2;5;3;3;2;-;1;1;1;1;3;1;1;9;8;28;28;34;33;175
"29002 COTEGIPE";1;-;5;2;3;3;2;1;-;-;1;1;1;-;-;-;-;2;9;10;9;7;10;67
"29003 SANTA MARIA DA VITORIA";2;2;8;4;5;8;7;6;7;1;7;1;4;3;9;10;4;16;9;14;15;6;16;164
"29004 JUAZEIRO";7;8;10;16;5;6;2;9;5;14;13;29;26;19;29;30;53;27;29;46;37;35;39;494
"29005 PAULO AFONSO";5;-;8;4;4;2;4;8;9;6;13;15;12;15;12;17;19;17;12;22;21;12;9;246
"29006 BARRA";-;2;1;-;-;1;1;6;3;2;4;3;5;7;7;6;4;9;13;13;13;10;12;122
"29007 BOM JESUS DA LAPA";2;3;3;3;5;4;6;9;5;11;6;11;13;14;11;7;14;15;15;19;15;16;15;222
