"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12001 CRUZEIRO DO SUL";-;5;5;1;1;5;3;2;1;1;1;5;1;5;2;3;1;-;1;3;4;-;1;51
"12002 TARAUACA";-;-;-;-;1;2;-;1;1;1;2;3;1;3;3;2;4;2;4;2;2;2;1;37
"12003 SENA MADUREIRA";-;-;3;-;-;1;-;2;3;3;3;5;7;7;6;4;3;4;6;2;5;2;7;73
"12004 RIO BRANCO";5;7;40;49;38;52;37;68;74;95;93;104;47;39;38;22;38;23;20;32;43;34;33;1031
"12005 BRASILEIA";-;1;2;4;4;1;2;2;5;-;9;7;10;7;10;10;8;10;2;9;4;9;20;136
"Ignorado - AC";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;-;-;2;-;7
"27001 SERRANA DO SERTAO ALAGOANO";-;1;3;3;-;2;6;4;14;10;5;15;23;16;21;19;15;2;1;2;-;-;-;162
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";3;2;-;4;2;4;6;4;8;8;11;11;14;17;26;20;13;-;1;-;-;1;1;156
"27003 SANTANA DO IPANEMA";7;4;7;3;4;2;6;15;9;15;19;27;35;49;47;40;40;2;3;2;4;1;2;343
"27004 BATALHA";3;1;3;2;1;7;5;5;7;4;14;11;19;15;33;27;18;2;-;1;-;2;-;180
"27005 PALMEIRA DOS INDIOS";4;4;6;7;12;6;9;19;15;18;27;29;42;43;39;62;36;-;-;8;3;-;3;392
"27006 ARAPIRACA";25;20;14;30;30;20;23;36;30;51;74;84;99;96;136;105;93;-;1;2;3;4;1;977
"27007 TRAIPU";-;2;1;1;1;1;2;2;1;2;2;1;6;2;7;3;5;1;-;-;-;-;-;40
"27008 SERRANA DOS QUILOMBOS";-;2;4;12;9;8;8;9;7;19;32;32;22;12;22;28;32;3;4;18;4;6;1;294
