"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"12002 TARAUACA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"12004 RIO BRANCO";-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;6
"12005 BRASILEIA";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"27001 SERRANA DO SERTAO ALAGOANO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"27002 ALAGOANA DO SERTAO DO SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"27003 SANTANA DO IPANEMA";-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;1;2;-;8
"27004 BATALHA";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;4
"27005 PALMEIRA DOS INDIOS";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;4
"27006 ARAPIRACA";-;-;-;-;6;-;-;-;2;-;1;1;-;-;-;-;-;-;1;1;1;-;2;15
"27008 SERRANA DOS QUILOMBOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"27009 MATA ALAGOANA";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;4
"27011 MACEIO";1;-;1;1;1;-;-;1;-;1;-;-;-;-;-;2;1;-;-;-;-;2;1;12
"27012 SAO MIGUEL DOS CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;1;5
"13001 RIO NEGRO";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"13004 JURUA";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"13005 TEFE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"13007 MANAUS";-;-;-;2;-;2;-;-;-;-;-;-;-;-;3;5;2;-;-;3;1;-;1;19
"13008 RIO PRETO DA EVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"13009 ITACOATIARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"13010 PARINTINS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"13012 PURUS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"13013 MADEIRA";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;2;5
"16001 OIAPOQUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"16003 MACAPA";2;1;-;-;-;2;-;-;-;-;-;-;-;1;-;-;2;-;-;2;-;-;-;10
"29001 BARREIRAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;1;-;1;7
"29002 COTEGIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"29003 SANTA MARIA DA VITORIA";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"29004 JUAZEIRO";-;-;-;-;2;4;-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;12
"29005 PAULO AFONSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"29006 BARRA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"29007 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"29008 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;2;-;-;-;6
"29009 IRECE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;-;-;5
"29010 JACOBINA";2;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;1;1;2;1;-;-;-;11
"29011 ITABERABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"29012 FEIRA DE SANTANA";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;4
"29014 EUCLIDES DA CUNHA";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"29015 RIBEIRA DO POMBAL";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"29016 SERRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"29018 ENTRE RIOS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"29020 SANTO ANTONIO DE JESUS";1;-;-;-;-;-;2;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;12
"29021 SALVADOR";2;1;1;-;2;6;3;4;-;1;1;-;3;1;-;1;-;-;-;-;1;-;1;28
"29022 BOQUIRA";-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;4
"29023 SEABRA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;3
"29024 JEQUIE";-;-;-;-;-;-;-;-;-;-;1;1;5;1;1;-;1;-;1;-;-;2;1;14
"29025 LIVRAMENTO DO BRUMADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"29026 GUANAMBI";-;-;1;-;-;-;-;-;1;-;1;6;-;-;-;1;-;-;1;-;-;-;1;12
"29027 BRUMADO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"29028 VITORIA DA CONQUISTA";-;-;-;-;1;-;-;-;-;1;3;-;-;2;2;-;-;1;-;3;-;-;-;13
"29029 ITAPETINGA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;3
"29030 VALENCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"29031 ILHEUS-ITABUNA";-;-;-;-;-;1;-;1;1;-;-;1;-;-;2;1;-;1;-;4;1;1;-;14
"29032 PORTO SEGURO";-;-;-;-;-;4;-;-;-;-;-;1;2;-;-;1;1;1;2;1;-;-;-;13
"Ignorado - BA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"23001 LITORAL DE CAMOCIM E ACARAU";-;1;5;-;1;7;1;1;3;1;4;1;1;-;-;-;-;-;1;1;-;-;1;29
"23002 IBIAPABA";3;1;4;6;3;2;2;-;-;1;1;1;-;-;1;-;-;2;1;2;-;-;1;31
"23003 COREAU";1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"23005 SOBRAL";1;1;-;2;1;-;-;1;1;-;-;-;-;-;-;2;-;1;-;2;-;-;-;12
"23006 IPU";3;1;2;-;2;-;4;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"23007 SANTA QUITERIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23008 ITAPIPOCA";1;-;-;-;-;8;1;-;-;-;3;2;1;-;-;-;-;-;-;-;-;-;-;16
"23010 URUBURETAMA";-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"23011 MEDIO CURU";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23013 BATURITE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23014 CHOROZINHO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"23015 CASCAVEL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23016 FORTALEZA";-;3;1;2;-;4;1;1;2;-;-;-;1;2;-;-;-;2;2;1;-;-;-;22
"23017 PACAJUS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"23018 SERTAO DE CRATEUS";-;1;2;-;-;-;-;2;1;4;-;1;-;-;-;1;4;-;-;1;-;-;1;18
"23019 SERTAO DE QUIXERAMOBIM";-;-;-;1;2;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;8
"23020 SERTAO DE INHAMUNS";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;1;-;-;5
"23021 SERTAO DE SENADOR POMPEU";-;-;1;1;2;1;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;1;10
"23022 LITORAL DE ARACATI";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"23023 BAIXO JAGUARIBE";-;-;1;7;-;-;1;2;4;1;-;1;3;-;-;1;-;2;-;-;-;-;-;23
"23024 MEDIO JAGUARIBE";-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"23025 SERRA DO PEREIRO";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23026 IGUATU";1;-;-;-;-;-;-;-;1;-;3;1;1;-;-;-;-;-;1;-;2;-;-;10
"23027 VARZEA ALEGRE";-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;6
"23028 LAVRAS DA MANGABEIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"23030 CARIRIACU";-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"23031 BARRO";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"23032 CARIRI";-;1;-;1;-;-;-;1;3;3;1;-;-;-;-;5;-;1;-;-;2;-;-;18
"23033 BREJO SANTO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"53001 BRASILIA";-;1;2;-;-;2;1;14;4;5;6;2;9;1;14;26;8;5;1;6;1;4;-;112
"32001 BARRA DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"32002 NOVA VENECIA";-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"32003 COLATINA";-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;-;-;-;5
"32005 SAO MATEUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"32006 LINHARES";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;1;-;2;1;2;9
"32007 AFONSO CLAUDIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3
"32008 SANTA TERESA";-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"32009 VITORIA";1;-;1;-;-;-;1;-;-;1;1;1;2;1;2;-;-;-;1;-;-;-;1;13
"32010 GUARAPARI";-;-;-;-;-;3;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"32011 ALEGRE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"32012 CACHOEIRO DE ITAPEMIRIM";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"52001 SAO MIGUEL DO ARAGUAIA";-;-;-;-;-;-;-;1;3;2;-;1;-;-;3;1;-;-;-;-;1;-;-;12
"52002 RIO VERMELHO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;3
"52003 ARAGARCAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"52004 PORANGATU";-;-;-;4;2;-;1;-;1;4;1;1;1;-;1;3;1;1;-;2;5;-;1;29
