"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";316;293;341;370;341;336;416;355;453;497;609;591;668;540;531;507;475;495;381;379;413;442;475;10224
"12 Acre";88;100;110;100;85;96;80;100;113;119;138;164;158;129;138;115;126;113;96;112;115;95;103;2593
"13 Amazonas";324;264;301;312;354;385;421;360;375;368;470;508;458;453;459;424;418;396;412;398;397;412;438;9107
"14 Roraima";110;125;139;82;70;104;110;144;121;127;146;135;149;151;146;166;107;134;96;123;128;128;157;2898
"15 Pará";639;714;806;852;859;970;1010;1072;1119;1024;1358;1366;1529;1560;1589;1570;1549;1431;1387;1362;1551;1470;1609;28396
"16 Amapá";94;112;121;116;117;109;120;100;91;108;121;153;124;115;130;90;96;84;68;84;69;97;105;2424
"17 Tocantins";321;322;350;366;463;366;355;436;456;455;529;531;548;503;575;547;585;600;487;472;490;549;549;10855
"21 Maranhão";438;499;648;664;751;897;832;1012;1148;1130;1300;1481;1676;1576;1792;1617;1664;1424;1354;1268;1399;1401;1339;27310
"22 Piauí";449;441;536;541;585;642;779;780;833;912;1052;1090;1204;1203;1297;1173;1106;1077;992;917;952;930;918;20409
"23 Ceará";1232;1351;1503;1559;1671;1726;1669;1684;1691;1529;2047;2053;2430;2343;2613;2312;1980;1594;1574;1355;1311;1307;1402;39936
"24 Rio Grande do Norte";456;417;419;383;429;455;485;472;463;501;652;595;602;610;582;587;545;543;526;451;438;438;392;11441
"25 Paraíba";396;424;652;532;636;652;700;702;799;783;835;792;974;1015;972;1022;1010;899;854;772;797;837;847;17902
"26 Pernambuco";1432;1336;1489;1399;1407;1416;1444;1440;1548;1751;1960;1969;2057;1868;1922;1919;1907;1703;1593;1498;1551;1509;1469;37587
"27 Alagoas";555;552;589;520;568;594;579;668;601;673;797;859;846;783;831;756;735;616;601;607;678;644;577;15229
"28 Sergipe";355;358;430;399;450;387;375;441;476;537;630;590;651;669;535;548;469;420;398;398;393;397;406;10712
"29 Bahia";1205;1200;1320;1299;1313;1781;1745;1940;1736;1847;2614;2634;2845;2676;2693;2257;2404;2345;2085;2310;2306;2336;2474;47365
"31 Minas Gerais";2247;2600;2832;3020;3370;3457;3705;3848;4001;3934;4362;4576;4451;4243;4396;3933;3589;3741;3280;3227;3010;3278;3170;82270
"32 Espírito Santo";835;849;949;858;874;875;944;1046;1069;961;1148;1159;1186;1118;1013;855;844;936;774;757;759;813;822;21444
"33 Rio de Janeiro";2596;2718;2824;2829;2906;2924;3092;2715;2614;2347;2898;2775;3047;2680;2902;2197;2262;2124;2038;1513;1793;1885;1931;57610
"35 São Paulo";5978;6894;6389;7009;7028;7168;7121;7399;7499;6909;7164;7377;7003;6564;7032;5923;5553;5184;4549;4995;5158;5211;4847;145954
"41 Paraná";2472;2501;2624;2796;3124;3019;2969;3196;3217;3134;3442;3365;3629;3168;3076;2678;2746;2543;2433;2422;2451;2662;2718;66385
"42 Santa Catarina";1496;1558;1664;1675;1822;1882;1953;1925;1850;1839;1859;1997;1916;1680;1851;1600;1508;1483;1375;1434;1381;1406;1421;38575
"43 Rio Grande do Sul";1875;1771;2077;2012;2086;2008;1938;1905;2009;2008;2234;2070;2095;2036;2012;1786;1768;1845;1742;1637;1533;1684;1759;43890
"50 Mato Grosso do Sul";401;504;626;601;700;739;687;695;712;711;789;859;819;836;859;680;642;605;562;628;630;666;671;15622
"51 Mato Grosso";747;726;883;749;928;875;865;909;1050;1115;1113;1083;1151;1201;1169;1056;1047;1034;1095;1019;1112;1235;1220;23382
"52 Goiás";1358;1342;1528;1414;1585;1524;1397;1437;1613;1693;1939;1842;2043;2004;2110;1864;1745;1664;1534;1469;1578;1674;1729;38086
"53 Distrito Federal";580;553;603;681;583;607;576;626;616;582;638;642;553;542;555;469;465;342;369;338;323;307;346;11896
"00 Ignorado/exterior";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";28995;30524;32753;33139;35105;35994;36367;37407;38273;37594;42844;43256;44812;42266;43780;38651;37345;35375;32655;31945;32716;33813;33894;839503
