"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";1;9;11;7;7;10;18;14;20;24;20;28;20;30;14;24;21;24;26;20;24;21;16;409
"12 Acre";2;3;3;5;3;3;5;2;2;1;1;1;10;8;9;5;8;5;11;6;3;1;2;99
"13 Amazonas";10;4;8;5;5;13;2;1;8;1;7;8;7;8;4;6;7;13;7;10;6;6;1;147
"14 Roraima";14;9;11;4;3;19;9;15;19;8;15;17;20;13;7;13;7;17;5;3;8;5;6;247
"15 Pará";21;32;28;24;25;33;30;37;44;42;28;35;46;26;26;19;28;37;29;28;23;33;26;700
"16 Amapá";1;-;3;1;4;3;2;-;2;1;-;-;2;1;13;12;8;12;7;10;5;7;10;104
"17 Tocantins";24;27;36;38;33;32;32;34;30;18;13;12;19;16;13;12;14;19;15;19;21;25;6;508
"21 Maranhão";14;17;38;24;32;58;39;47;50;47;41;54;59;50;48;44;51;36;35;39;33;27;24;907
"22 Piauí";20;25;29;19;35;30;44;58;46;58;61;42;50;41;50;44;47;44;38;37;27;32;27;904
"23 Ceará";80;91;82;76;56;74;74;63;41;47;84;35;35;57;34;47;59;55;72;56;33;43;68;1362
"24 Rio Grande do Norte";4;10;13;12;16;15;12;11;17;9;20;27;10;15;15;16;16;15;9;10;14;16;13;315
"25 Paraíba";8;6;9;15;8;12;7;11;18;18;17;22;18;16;13;23;19;18;15;19;8;18;9;327
"26 Pernambuco";37;54;52;51;40;35;55;61;52;64;54;54;56;33;53;67;53;55;75;61;61;62;62;1247
"27 Alagoas";4;7;10;6;10;10;9;9;10;13;12;12;6;4;3;4;9;20;26;13;33;13;18;261
"28 Sergipe";10;10;14;15;9;15;8;24;21;28;32;18;23;17;16;24;25;21;17;21;13;23;27;431
"29 Bahia";10;16;18;16;11;22;30;33;39;25;34;33;43;42;30;27;27;37;36;47;39;31;39;685
"31 Minas Gerais";74;90;135;128;158;153;134;132;109;119;136;130;142;123;131;127;103;123;161;131;142;135;135;2951
"32 Espírito Santo";11;11;16;25;24;28;39;18;28;22;18;12;22;28;19;24;28;27;21;21;37;46;36;561
"33 Rio de Janeiro";38;41;87;113;138;142;161;153;142;132;120;84;92;87;67;82;59;65;58;63;43;58;54;2079
"35 São Paulo";58;123;115;145;169;166;338;322;311;329;290;293;249;253;278;237;220;229;226;241;312;278;278;5460
"41 Paraná";106;164;157;197;210;190;191;172;181;158;147;137;139;130;113;110;128;97;149;144;128;143;144;3435
"42 Santa Catarina";98;99;137;138;143;125;115;108;109;124;119;104;119;83;124;96;80;87;71;114;115;102;78;2488
"43 Rio Grande do Sul";40;37;76;69;72;74;78;71;83;65;62;86;79;74;83;56;80;63;69;88;59;73;78;1615
"50 Mato Grosso do Sul";12;18;31;33;43;74;68;64;59;66;56;75;72;56;59;51;48;48;38;43;37;51;59;1161
"51 Mato Grosso";32;33;23;21;43;40;50;56;41;51;40;54;49;42;41;39;31;41;44;35;40;43;42;931
"52 Goiás";52;61;83;55;79;99;68;87;76;63;58;58;68;62;70;65;65;73;79;59;61;65;63;1569
"53 Distrito Federal";8;11;15;21;13;48;50;46;57;40;28;44;37;33;24;37;21;25;24;20;27;24;25;678
"Total";789;1008;1240;1263;1389;1523;1668;1649;1615;1573;1513;1475;1492;1348;1357;1311;1262;1306;1363;1358;1352;1381;1346;31581
