"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";3;-;1;-;-;-;-;2;13;2;4;1;1;3;1;5;-;4;1;2;2;5;1;51
"12 Acre";-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;-;5
"13 Amazonas";8;7;3;4;1;1;1;-;1;1;3;1;1;2;11;1;-;-;1;1;-;3;2;53
"14 Roraima";7;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"15 Pará";3;2;2;1;4;2;1;9;4;5;5;3;15;-;5;3;11;-;2;3;3;5;13;101
"16 Amapá";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;4
"17 Tocantins";3;-;1;-;5;1;2;2;-;-;2;5;5;1;6;-;4;4;7;-;3;4;1;56
"21 Maranhão";-;2;2;2;6;22;5;4;5;14;5;9;9;2;4;5;10;4;4;4;2;15;10;145
"22 Piauí";-;-;1;-;-;-;3;4;1;1;3;-;2;1;2;1;2;10;3;6;1;3;4;48
"23 Ceará";11;1;7;4;23;6;21;16;5;7;5;8;5;10;16;5;10;4;5;-;1;3;4;177
"24 Rio Grande do Norte";1;-;-;1;5;1;-;-;-;-;-;2;1;2;1;1;1;-;1;-;1;-;-;18
"25 Paraíba";1;2;1;1;2;-;-;1;4;13;3;1;1;6;2;-;2;-;1;-;-;-;-;41
"26 Pernambuco";7;4;5;5;12;4;5;9;19;8;9;4;8;2;5;6;2;1;6;3;3;6;6;139
"27 Alagoas";3;4;-;1;2;2;1;-;-;-;-;1;-;1;-;1;-;10;1;3;3;3;2;38
"28 Sergipe";4;1;41;-;2;1;3;-;2;-;-;1;1;-;-;-;1;-;3;2;-;-;1;63
"29 Bahia";8;3;3;3;3;12;5;6;7;5;9;15;13;8;27;3;10;7;2;13;4;16;5;187
"31 Minas Gerais";17;10;19;26;17;12;46;36;11;13;12;31;24;16;25;21;14;43;29;18;25;11;14;490
"32 Espírito Santo";2;-;1;5;-;3;-;2;7;2;1;-;1;2;14;3;1;6;5;1;1;-;1;58
"33 Rio de Janeiro";7;3;9;14;27;17;25;12;17;15;14;7;19;25;16;44;11;11;3;8;7;5;3;319
"35 São Paulo";21;11;3;8;22;14;72;32;23;28;35;38;36;35;55;18;20;24;17;40;41;10;11;614
"41 Paraná";3;1;8;20;27;16;18;12;7;28;13;6;22;12;18;14;53;21;15;11;3;22;21;371
"42 Santa Catarina";6;15;4;13;6;14;7;17;4;10;1;34;4;11;1;65;4;6;2;6;3;2;1;236
"43 Rio Grande do Sul";8;15;6;4;7;2;2;4;27;10;6;4;16;14;9;14;9;4;4;5;4;3;8;185
"50 Mato Grosso do Sul";-;-;4;-;5;7;5;3;7;2;4;5;2;5;-;-;-;1;-;3;-;1;1;55
"51 Mato Grosso";1;5;8;9;5;6;4;8;5;7;3;3;-;2;8;15;4;1;2;1;-;4;11;112
"52 Goiás";3;5;4;21;29;22;8;4;8;6;19;10;6;10;13;5;9;4;6;6;2;2;5;207
"53 Distrito Federal";-;1;1;1;1;1;-;-;-;-;3;3;1;3;-;5;2;-;3;1;1;1;1;29
"Total";127;93;135;143;212;166;235;183;179;177;160;194;193;173;239;235;180;166;124;138;111;124;126;3813
