"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";52;29;32;42;29;39;30;17;36;32;73;68;110;98;86;75;65;65;71;63;49;47;57;1265
"12 Acre";27;25;5;8;5;13;7;10;5;5;3;12;13;7;18;8;9;12;4;6;5;2;2;211
"13 Amazonas";54;41;42;43;26;25;38;39;42;53;65;46;52;60;58;65;56;37;46;46;44;47;54;1079
"14 Roraima";22;19;20;8;14;18;13;33;20;14;28;18;19;27;24;40;28;24;24;31;45;44;25;558
"15 Pará";70;77;76;60;107;95;81;101;101;104;125;118;165;112;126;95;103;105;97;93;58;70;82;2221
"16 Amapá";21;2;1;15;13;5;5;16;6;5;-;1;6;2;18;12;25;15;14;11;5;20;11;229
"17 Tocantins";128;98;111;90;124;101;107;116;122;138;143;159;165;123;189;184;153;132;88;78;66;97;98;2810
"21 Maranhão";91;105;110;124;113;151;143;147;160;165;195;208;214;200;238;183;159;147;113;87;84;86;113;3336
"22 Piauí";5;26;30;18;24;25;37;47;44;77;117;139;153;171;139;140;120;152;104;86;60;73;76;1863
"23 Ceará";196;218;318;315;378;387;319;331;446;280;183;275;322;245;252;332;398;169;197;135;107;192;101;6096
"24 Rio Grande do Norte";155;135;141;111;140;153;161;150;151;100;134;117;117;81;93;110;65;82;64;36;38;52;31;2417
"25 Paraíba";99;37;18;102;51;48;55;45;45;66;73;72;137;131;149;220;186;145;191;108;148;149;231;2506
"26 Pernambuco";263;245;285;208;259;288;226;256;313;278;311;318;385;326;345;375;341;281;240;235;204;233;224;6439
"27 Alagoas";82;66;58;44;40;44;27;40;13;38;13;28;19;10;7;9;9;126;92;59;87;85;83;1079
"28 Sergipe";140;165;121;93;106;86;89;78;107;84;130;126;100;147;93;101;81;63;59;65;61;57;67;2219
"29 Bahia";569;625;610;574;633;626;576;733;728;752;828;981;1020;906;833;661;641;663;588;618;679;691;782;16317
"31 Minas Gerais";508;707;886;911;1018;962;1095;1137;1261;1326;1586;1687;1654;1690;1778;1551;1465;1517;1188;1244;1127;1185;1101;28584
"32 Espírito Santo";245;280;211;226;247;230;286;344;263;262;332;402;417;390;360;233;225;274;168;155;101;191;213;6055
"33 Rio de Janeiro";181;302;352;467;548;600;550;543;462;361;376;451;508;437;387;348;314;280;253;186;160;162;151;8379
"35 São Paulo";457;539;528;625;659;595;1336;1325;1330;1335;1376;1388;1293;1298;1475;1191;1095;947;887;1004;1048;1010;924;23665
"41 Paraná";555;579;585;640;870;879;801;869;818;856;901;872;989;957;939;772;881;855;781;751;765;844;920;18679
"42 Santa Catarina";363;393;399;402;440;395;463;433;433;415;537;636;581;556;642;539;525;493;500;447;456;433;442;10923
"43 Rio Grande do Sul";213;260;336;359;337;372;332;352;382;401;471;486;552;559;552;542;596;637;654;537;539;474;588;10531
"50 Mato Grosso do Sul";25;46;91;95;122;153;152;171;176;201;209;221;210;240;250;203;177;190;154;154;137;125;162;3664
"51 Mato Grosso";180;322;404;277;311;240;225;220;230;231;268;247;289;270;274;222;259;201;236;224;211;253;253;5847
"52 Goiás";275;266;266;223;299;310;302;255;270;361;376;410;457;567;593;550;484;489;376;353;398;335;339;8554
"53 Distrito Federal";290;240;254;322;275;195;183;174;156;193;206;247;207;147;166;97;117;86;93;87;70;72;96;3973
"Total";5266;5847;6290;6402;7188;7035;7639;7982;8120;8133;9059;9733;10154;9757;10084;8858;8577;8187;7282;6899;6752;7029;7226;179499
