"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";2;11;13;9;10;16;23;18;39;39;44;53;48;49;39;67;66;73;53;53;47;64;57;893
"12 Acre";-;-;1;1;2;2;3;1;2;3;-;-;20;10;11;8;16;9;14;17;4;4;2;130
"13 Amazonas";22;18;20;12;9;15;14;7;17;18;21;26;14;33;48;46;52;51;53;49;46;43;47;681
"14 Roraima";15;18;16;-;2;7;10;21;10;7;10;9;14;8;9;18;5;12;2;3;12;11;3;222
"15 Pará";48;50;33;36;44;54;44;61;52;69;55;64;73;60;77;86;82;74;91;90;73;72;95;1483
"16 Amapá";-;2;1;-;3;-;2;2;2;-;-;-;1;1;17;11;10;7;6;12;10;11;12;110
"17 Tocantins";24;30;42;66;49;38;39;54;39;34;37;48;42;49;51;44;67;50;57;50;40;55;83;1088
"21 Maranhão";19;27;45;32;63;88;71;69;86;76;102;84;150;117;175;121;152;136;119;90;106;119;145;2192
"22 Piauí";13;14;22;27;30;43;50;42;79;96;99;107;125;130;138;106;102;116;70;80;71;73;81;1714
"23 Ceará";133;158;93;115;75;65;108;83;81;45;67;50;47;47;47;74;99;85;108;84;69;95;98;1926
"24 Rio Grande do Norte";3;5;19;16;12;10;10;9;13;15;18;43;28;17;26;24;28;29;20;29;18;30;13;435
"25 Paraíba";9;9;11;4;7;8;24;9;11;16;12;16;39;21;21;26;29;29;27;24;14;28;19;413
"26 Pernambuco";69;81;104;78;91;94;112;118;122;148;171;178;130;96;159;125;143;128;178;108;133;151;190;2907
"27 Alagoas";8;2;2;1;3;2;3;10;2;14;7;1;6;4;2;-;2;86;85;35;72;66;46;459
"28 Sergipe";18;9;29;19;20;28;44;58;90;79;108;106;89;104;103;77;59;48;52;78;56;45;51;1370
"29 Bahia";14;15;25;24;30;174;73;69;58;59;131;107;157;167;158;104;86;113;99;127;120;151;157;2218
"31 Minas Gerais";98;116;172;220;210;208;186;204;252;265;372;391;403;449;477;434;407;418;394;507;392;404;360;7339
"32 Espírito Santo";10;6;16;6;12;23;32;50;43;37;19;49;40;37;58;31;37;115;52;41;52;77;60;903
"33 Rio de Janeiro";77;167;237;353;412;446;442;452;399;408;375;271;249;232;217;302;209;151;181;95;75;84;84;5918
"35 São Paulo";69;146;89;162;220;234;794;648;722;812;827;865;805;760;844;675;606;537;453;668;642;525;583;12686
"41 Paraná";199;203;199;247;335;379;355;423;403;424;413;421;500;511;471;430;458;509;479;543;534;521;551;9508
"42 Santa Catarina";311;335;323;358;343;303;308;361;328;338;379;465;336;346;405;355;317;307;326;326;312;285;275;7742
"43 Rio Grande do Sul";134;155;202;191;218;198;202;228;256;210;240;295;333;369;310;311;354;321;336;304;236;278;257;5938
"50 Mato Grosso do Sul";13;32;53;36;78;165;175;165;154;165;184;201;181;186;214;139;144;143;92;136;121;109;135;3021
"51 Mato Grosso";66;44;44;52;61;95;97;97;131;157;163;161;177;203;162;142;128;130;178;166;168;186;221;3029
"52 Goiás";150;160;163;118;212;253;181;149;207;193;203;196;217;235;262;239;249;240;230;201;167;225;184;4634
"53 Distrito Federal";1;2;8;5;4;37;42;59;62;69;59;44;64;80;55;54;54;41;46;51;40;50;58;985
"Total";1525;1815;1982;2188;2555;2985;3444;3467;3660;3796;4116;4251;4288;4321;4556;4049;3961;3958;3801;3967;3630;3762;3867;79944
