"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";1;2;5;5;4;7;5;6;6;9;12;11;16;8;6;9;5;17;14;18;11;6;13;196
"12 Acre";1;1;-;-;-;-;1;-;4;-;-;-;1;1;1;3;3;1;3;1;1;1;-;23
"13 Amazonas";6;5;3;3;1;2;3;3;2;2;5;4;7;5;5;2;-;3;-;3;5;7;5;81
"14 Roraima";8;6;5;3;-;1;-;5;1;4;-;-;-;-;-;3;-;-;-;-;-;-;1;37
"15 Pará";14;17;20;24;18;27;27;27;15;17;15;17;22;13;22;20;10;23;27;16;14;29;22;456
"16 Amapá";1;4;-;-;2;-;1;-;1;2;-;-;-;-;-;-;-;1;1;-;1;-;-;14
"17 Tocantins";8;13;12;21;27;9;10;27;5;10;19;9;6;12;20;17;19;12;7;16;14;16;10;319
"21 Maranhão";8;5;12;20;22;23;14;23;14;12;33;24;21;17;29;24;73;19;17;10;18;10;12;460
"22 Piauí";3;-;9;10;5;8;7;17;15;22;19;24;15;31;25;19;13;31;12;9;11;7;11;323
"23 Ceará";33;31;17;21;23;16;18;18;25;20;8;10;8;15;5;11;24;15;13;21;6;12;19;389
"24 Rio Grande do Norte";-;1;9;2;7;4;6;2;3;1;3;2;4;5;6;4;-;4;2;3;1;6;5;80
"25 Paraíba";6;-;5;4;1;6;16;7;1;6;2;3;13;7;8;4;7;3;2;4;2;3;2;112
"26 Pernambuco";33;34;30;31;27;29;38;30;28;28;35;25;28;28;30;24;22;38;29;19;32;42;28;688
"27 Alagoas";45;34;23;15;10;7;2;5;-;4;2;1;2;3;8;1;-;23;8;5;19;19;14;250
"28 Sergipe";3;6;8;4;24;7;9;7;17;14;33;14;20;25;12;14;14;4;13;13;7;12;12;292
"29 Bahia";7;10;18;8;20;63;26;26;14;22;40;24;37;37;40;30;14;18;42;46;39;46;36;663
"31 Minas Gerais";33;45;46;63;78;75;62;76;98;91;110;135;105;104;119;99;104;127;111;150;119;123;115;2188
"32 Espírito Santo";5;5;9;3;9;17;30;18;23;11;11;19;23;28;16;16;13;54;19;7;7;23;11;377
"33 Rio de Janeiro";36;46;36;63;66;53;72;55;60;69;33;53;53;41;36;37;31;29;18;12;11;14;7;931
"35 São Paulo";20;40;38;54;55;47;120;117;104;98;144;117;120;97;105;104;107;97;86;110;107;116;111;2114
"41 Paraná";58;46;41;66;66;92;75;77;77;77;59;85;96;95;76;69;62;111;104;104;96;109;117;1858
"42 Santa Catarina";49;52;46;41;62;43;61;65;48;55;38;52;63;55;69;69;34;53;63;44;46;52;61;1221
"43 Rio Grande do Sul";33;36;48;43;66;38;62;52;46;42;38;65;60;57;49;40;72;64;56;69;67;62;52;1217
"50 Mato Grosso do Sul";8;13;22;24;28;56;40;38;27;41;32;41;40;29;44;30;23;21;22;22;23;32;33;689
"51 Mato Grosso";39;16;38;38;36;31;43;17;32;54;41;55;54;48;44;34;41;36;60;67;43;48;67;982
"52 Goiás";28;30;45;25;45;65;29;42;44;38;43;49;44;45;50;52;49;55;54;44;47;47;39;1009
"53 Distrito Federal";2;4;5;3;6;6;9;7;8;4;5;9;5;12;13;4;10;2;12;6;4;5;3;144
"Total";488;502;550;594;708;732;786;767;718;753;780;848;863;818;838;739;750;861;795;819;751;847;806;17113
