"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";20;45;60;44;64;58;104;81;102;143;139;158;177;187;185;197;210;256;143;160;176;192;202;3103
"12 Acre";16;14;13;8;7;6;6;2;9;6;14;13;41;43;31;37;33;39;27;32;35;31;19;482
"13 Amazonas";64;55;46;43;60;79;61;73;86;92;91;111;123;134;161;177;184;211;200;186;217;206;224;2884
"14 Roraima";33;41;42;15;16;29;29;49;49;29;58;51;79;71;63;74;36;64;32;41;39;30;53;1023
"15 Pará";61;82;82;148;159;181;189;237;245;282;401;440;479;537;462;498;518;576;594;493;589;491;558;8302
"16 Amapá";2;2;3;4;8;2;11;4;3;11;5;4;5;7;41;25;35;33;22;21;42;27;32;349
"17 Tocantins";62;85;101;117;138;129;111;133;156;142;152;177;179;204;200;220;260;261;217;227;187;215;278;3951
"21 Maranhão";37;51;109;121;117;202;204;252;290;322;404;564;697;677;843;833;895;700;712;598;708;726;695;10757
"22 Piauí";75;84;119;129;189;227;267;295;355;427;550;588;688;647;761;718;730;668;639;604;635;575;624;10594
"23 Ceará";255;357;385;444;493;499;587;570;535;527;709;703;835;748;774;812;706;771;778;676;619;636;811;14230
"24 Rio Grande do Norte";83;92;87;110;95;112;151;160;168;222;268;246;272;282;268;265;288;209;229;205;169;180;183;4344
"25 Paraíba";24;27;69;40;81;135;103;174;242;214;220;251;343;361;361;387;414;389;353;342;307;337;339;5513
"26 Pernambuco";165;163;220;261;259;289;325;336;371;504;627;786;861;744;833;852;930;850;786;674;813;772;740;13161
"27 Alagoas";32;33;56;73;84;102;115;132;115;116;122;117;126;139;49;59;104;318;358;291;396;350;366;3653
"28 Sergipe";40;51;76;102;116;106;127;163;183;258;287;309;407;347;297;301;267;248;242;234;249;241;243;4894
"29 Bahia";87;91;147;152;150;258;234;286;248;323;498;468;591;679;743;663;650;670;631;724;690;656;699;10338
"31 Minas Gerais";141;183;253;277;361;395;471;563;690;668;739;862;839;830;885;879;771;864;789;766;761;796;785;14568
"32 Espírito Santo";68;79;117;112;125;153;199;262;294;269;326;368;369;318;292;292;279;333;229;212;227;314;279;5516
"33 Rio de Janeiro";120;155;239;297;337;406;525;533;600;562;563;495;450;473;509;559;383;443;392;274;353;388;389;9445
"35 São Paulo";250;418;325;449;573;695;1207;1321;1587;1490;1661;1764;1700;1595;1706;1473;1485;1424;1214;1520;1725;1776;1532;28890
"41 Paraná";228;262;265;313;414;502;566;714;717;652;773;766;879;721;744;661;654;646;709;725;754;824;785;14274
"42 Santa Catarina";172;230;254;325;362;399;486;493;501;560;556;610;590;524;602;502;510;517;439;483;439;434;462;10450
"43 Rio Grande do Sul";104;131;172;187;248;259;282;298;304;338;375;389;436;396;415;306;354;440;389;398;431;354;397;7403
"50 Mato Grosso do Sul";33;34;69;81;73;156;163;187;201;218;263;282;288;268;298;240;225;211;213;258;252;268;238;4519
"51 Mato Grosso";110;130;145;157;181;198;221;274;311;372;384;352;394;419;393;389;415;417;443;394;479;503;474;7555
"52 Goiás";168;189;231;208;287;305;328;347;409;388;492;428;503;502;559;524;569;506;569;547;461;523;566;9609
"53 Distrito Federal";15;16;59;53;45;92;90;139;127;133;148;131;129;130;129;123;131;90;86;97;100;97;85;2245
"00 Ignorado/exterior";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";2465;3100;3744;4271;5042;5974;7162;8078;8898;9268;10825;11433;12480;11983;12604;12066;12036;12154;11435;11182;11853;11942;12058;212053
