"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";219;178;191;246;222;191;222;197;249;229;288;264;288;151;190;128;113;82;70;62;104;131;134;4149
"12 Acre";3;12;50;52;42;62;41;76;85;102;113;126;68;59;59;46;59;44;36;51;65;54;67;1372
"13 Amazonas";38;25;58;59;115;122;155;108;107;88;118;142;104;81;76;39;45;29;30;36;18;30;26;1649
"14 Roraima";2;14;38;46;29;20;41;19;17;60;26;30;18;20;15;18;18;4;19;33;24;32;62;605
"15 Pará";125;167;163;132;161;175;189;227;218;170;194;166;204;354;576;510;635;327;407;532;661;680;685;7658
"16 Amapá";31;5;24;4;14;7;40;78;71;87;113;127;102;92;28;27;6;1;2;23;7;28;41;958
"17 Tocantins";28;37;28;28;41;42;18;36;54;89;131;115;116;91;90;58;75;110;96;89;144;143;102;1761
"21 Maranhão";144;180;178;190;214;185;209;324;430;353;358;382;403;401;385;353;277;325;307;320;344;331;338;6931
"22 Piauí";245;201;241;251;215;228;287;209;202;151;103;130;129;172;169;111;87;60;85;89;139;155;91;3750
"23 Ceará";171;114;93;78;65;95;79;60;118;160;500;539;773;762;1123;717;491;266;237;212;352;254;211;7470
"24 Rio Grande do Norte";76;59;58;46;56;83;54;59;64;92;115;107;124;131;138;125;118;162;168;155;166;135;118;2409
"25 Paraíba";176;204;356;240;379;299;412;358;375;392;418;359;354;394;338;313;297;249;218;220;282;284;194;7111
"26 Pernambuco";403;355;360;326;264;276;258;306;313;356;385;351;291;334;251;240;199;127;124;182;143;124;133;6101
"27 Alagoas";60;63;100;176;202;186;217;245;332;332;497;576;579;540;709;635;577;31;16;164;49;68;18;6372
"28 Sergipe";68;28;45;23;33;48;29;82;14;37;29;10;13;21;19;23;17;16;8;11;12;13;7;606
"29 Bahia";220;122;154;219;180;295;395;372;355;384;640;630;623;560;576;541;775;653;509;525;604;666;653;10651
"31 Minas Gerais";831;888;749;898;921;1038;1023;1052;982;937;936;958;968;796;754;612;528;439;432;366;369;494;522;17493
"32 Espírito Santo";260;209;335;239;253;248;180;151;179;187;228;129;149;158;148;149;145;96;199;241;308;94;177;4462
"33 Rio de Janeiro";892;756;699;501;402;390;396;360;302;255;550;547;912;756;955;386;928;677;518;600;670;666;729;13847
"35 São Paulo";3641;3630;3565;3545;3371;3426;1754;2038;1931;1581;1630;1689;1637;1480;1468;1278;1195;1047;939;738;694;830;842;43949
"41 Paraná";849;721;810;775;715;512;534;557;551;630;784;788;791;613;604;496;447;267;169;156;240;223;227;12459
"42 Santa Catarina";432;382;442;380;445;544;472;440;425;309;253;215;218;187;149;89;83;76;76;64;122;168;111;6082
"43 Rio Grande do Sul";957;768;851;796;753;688;703;658;682;693;804;606;551;526;496;453;274;228;181;120;125;386;315;12614
"50 Mato Grosso do Sul";247;273;278;248;264;114;111;103;97;59;87;75;80;91;72;43;59;37;33;41;97;99;63;2671
"51 Mato Grosso";212;75;82;88;191;205;164;182;258;225;199;215;215;267;263;243;189;196;171;185;233;286;223;4567
"52 Goiás";593;500;616;583;519;391;410;432;512;561;641;609;653;501;513;420;350;287;208;244;400;466;489;10898
"53 Distrito Federal";38;58;30;37;30;47;37;31;38;29;12;13;13;45;39;30;24;26;24;14;12;8;20;655
"Total";10961;10024;10594;10206;10096;9917;8430;8760;8961;8548;10152;9898;10376;9583;10203;8083;8011;5862;5282;5473;6384;6848;6598;199250
