"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";20;30;35;25;15;28;35;36;22;49;61;53;51;59;48;51;53;42;49;47;36;36;42;923
"12 Acre";39;44;38;27;27;11;20;9;6;5;6;12;24;11;20;15;13;11;14;14;6;5;13;390
"13 Amazonas";144;127;140;153;146;141;161;135;128;130;181;196;159;161;142;129;123;103;128;112;105;112;122;3178
"14 Roraima";19;23;13;3;6;14;15;22;9;9;13;12;13;19;33;14;15;22;14;15;8;17;8;336
"15 Pará";330;327;429;450;375;446;487;423;484;396;576;578;586;504;356;405;233;346;225;178;192;158;216;8700
"16 Amapá";36;98;89;91;76;90;61;2;8;2;3;20;9;11;30;14;19;22;21;15;8;15;11;751
"17 Tocantins";64;53;53;59;74;44;59;73;79;52;61;47;56;51;51;53;52;56;55;35;42;43;44;1256
"21 Maranhão";139;130;191;173;214;245;206;206;191;200;249;226;258;217;228;171;186;181;153;200;202;195;138;4499
"22 Piauí";101;100;104;111;110;124;129;142;154;152;184;156;151;121;143;128;97;98;107;80;74;81;77;2724
"23 Ceará";474;527;571;596;612;617;553;616;497;479;540;467;444;501;405;377;285;302;263;244;188;163;183;9904
"24 Rio Grande do Norte";137;116;100;99;106;85;96;89;58;72;107;83;70;85;55;61;55;68;50;41;46;48;41;1768
"25 Paraíba";79;142;189;128;108;148;105;103;113;70;98;81;105;98;101;75;85;91;73;77;47;43;69;2228
"26 Pernambuco";503;468;525;502;534;475;521;425;441;488;511;408;402;378;390;339;350;345;319;317;295;266;273;9475
"27 Alagoas";327;343;341;204;211;243;208;237;129;167;145;122;114;85;54;47;36;87;92;71;87;99;71;3520
"28 Sergipe";88;96;122;162;160;122;109;85;131;116;119;112;87;111;96;84;63;67;56;52;49;51;48;2186
"29 Bahia";297;332;367;327;309;488;472;477;338;329;545;472;487;437;432;322;272;285;267;313;245;223;253;8289
"31 Minas Gerais";607;641;714;690;805;796;852;819;818;760;807;742;692;636;665;595;560;575;523;511;437;487;457;15189
"32 Espírito Santo";242;264;258;248;214;193;207;251;274;205;230;228;203;191;162;138;152;140;130;116;74;144;98;4362
"33 Rio de Janeiro";1313;1397;1394;1334;1367;1283;1332;1024;1016;944;1232;1130;999;847;928;734;514;612;788;364;549;588;590;22279
"35 São Paulo";1528;2124;1813;2179;2167;2215;2253;2198;2180;2008;1983;2003;1909;1763;1906;1590;1401;1391;1137;1310;1079;1159;1113;40409
"41 Paraná";642;715;739;758;795;804;757;766;841;709;722;673;661;608;544;532;473;499;474;487;426;460;469;14554
"42 Santa Catarina";365;371;363;349;339;344;336;351;316;346;329;319;309;249;255;221;246;237;196;261;190;203;257;6752
"43 Rio Grande do Sul";508;506;560;538;579;556;465;455;467;426;457;408;374;386;367;341;342;357;341;372;284;296;278;9663
"50 Mato Grosso do Sul";76;117;123;112;151;147;130;106;136;107;116;128;90;96;97;95;85;72;86;85;70;70;93;2388
"51 Mato Grosso";167;144;179;148;152;141;133;133;145;144;145;126;123;122;126;83;98;113;109;86;91;68;103;2879
"52 Goiás";224;262;259;281;302;302;240;255;265;252;289;251;290;303;279;215;196;239;223;205;183;221;205;5741
"53 Distrito Federal";227;223;238;244;212;218;205;219;228;182;235;191;153;170;169;150;154;108;125;107;107;98;115;4078
"Total";8696;9720;9947;9991;10166;10320;10147;9657;9474;8799;9944;9244;8819;8220;8082;6979;6158;6469;6018;5715;5120;5349;5387;188421
