"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";-;-;3;1;-;3;2;-;3;8;12;4;5;4;1;14;7;4;5;6;8;4;9;103
"12 Acre";-;1;1;-;-;1;-;1;1;-;-;-;1;-;-;1;1;-;-;1;-;1;-;10
"13 Amazonas";-;-;1;2;-;2;-;1;1;1;-;-;3;2;2;5;2;-;-;4;1;-;4;31
"14 Roraima";5;12;10;3;2;3;2;1;5;3;4;6;-;1;4;4;-;3;2;-;1;-;1;72
"15 Pará";15;10;6;11;10;10;6;11;7;7;10;8;8;11;15;13;9;10;3;18;6;3;6;213
"16 Amapá";2;1;-;-;-;2;-;-;-;-;-;-;-;1;-;-;2;-;-;3;-;-;-;11
"17 Tocantins";4;9;6;12;21;8;16;11;10;6;7;7;2;5;4;3;8;6;2;8;13;6;10;184
"21 Maranhão";1;9;4;9;31;10;9;7;6;14;14;12;11;8;17;2;11;10;10;8;6;6;7;222
"22 Piauí";-;4;3;2;7;-;5;6;15;24;15;8;16;18;8;11;10;14;4;5;5;3;7;190
"23 Ceará";10;10;26;23;16;31;15;10;21;8;15;14;7;2;1;10;6;11;8;9;5;-;4;262
"24 Rio Grande do Norte";-;4;11;2;2;2;5;1;2;4;4;10;4;6;4;3;2;2;3;1;2;-;1;75
"25 Paraíba";2;2;3;2;5;2;-;3;1;4;4;3;1;1;-;-;-;2;1;1;2;1;1;41
"26 Pernambuco";19;10;10;14;10;19;14;15;11;24;27;22;20;15;12;13;10;4;12;2;-;4;2;289
"27 Alagoas";2;-;1;-;9;-;-;-;2;2;1;2;-;1;-;-;-;1;7;1;4;7;5;45
"28 Sergipe";1;1;3;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"29 Bahia";4;1;2;-;5;16;5;5;4;5;13;11;30;7;10;8;9;11;9;23;5;7;6;196
"31 Minas Gerais";30;24;24;22;11;21;19;25;27;14;27;24;24;42;32;39;32;40;38;36;26;41;40;658
"32 Espírito Santo";-;1;2;-;2;3;3;-;1;3;2;1;2;3;1;-;-;5;3;1;4;1;6;44
"33 Rio de Janeiro";6;16;6;40;16;32;27;35;14;7;7;6;11;12;3;7;21;5;7;5;-;4;8;295
"35 São Paulo";3;9;2;4;12;10;33;39;24;30;36;73;51;31;31;26;25;22;32;30;25;23;32;603
"41 Paraná";30;11;18;24;26;22;24;26;21;22;34;31;37;29;29;16;44;44;31;44;39;36;33;671
"42 Santa Catarina";11;15;18;25;24;14;12;18;12;19;21;23;22;12;8;17;25;13;25;14;9;9;6;372
"43 Rio Grande do Sul";10;18;28;15;23;19;13;13;17;31;19;25;26;22;39;30;41;52;47;45;21;35;39;628
"50 Mato Grosso do Sul";-;3;8;8;13;32;18;21;9;17;22;32;36;49;39;18;24;25;16;22;13;19;20;464
"51 Mato Grosso";6;1;4;11;9;14;23;18;24;31;31;30;26;29;19;30;10;27;28;25;15;30;47;488
"52 Goiás";15;28;23;18;24;30;10;12;27;21;17;26;20;14;31;27;17;9;17;10;24;15;20;455
"53 Distrito Federal";-;-;1;-;1;-;2;10;1;-;-;1;8;2;15;23;6;4;2;6;1;2;1;86
"Total";176;200;224;248;279;306;264;291;267;305;342;379;371;327;325;320;322;324;312;328;235;257;315;6717
