"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";-;-;3;-;-;-;-;2;2;1;-;4;-;-;-;4;1;1;2;1;3;-;1;25
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;5
"14 Roraima";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;3;-;1;9
"15 Pará";-;-;-;2;-;1;-;-;1;1;4;1;4;3;1;7;2;7;3;1;5;1;1;45
"16 Amapá";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;4
"17 Tocantins";-;-;2;1;-;-;-;4;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;10
"21 Maranhão";4;-;4;1;2;1;3;2;2;3;1;2;4;4;-;2;2;2;3;2;2;5;2;53
"22 Piauí";-;1;-;1;-;-;-;2;1;-;-;3;-;1;-;1;-;-;-;1;-;1;1;13
"23 Ceará";2;2;4;2;5;1;3;-;3;1;3;2;1;3;3;1;1;1;1;2;-;4;1;46
"24 Rio Grande do Norte";-;-;-;-;2;-;-;-;-;1;1;1;-;3;2;2;-;1;-;-;1;1;-;15
"25 Paraíba";1;4;2;-;1;2;2;-;-;-;-;-;2;1;-;-;-;2;-;1;1;2;2;23
"26 Pernambuco";2;3;2;1;2;1;2;2;-;1;1;1;6;8;3;3;-;2;2;5;-;-;1;48
"27 Alagoas";-;2;-;1;-;-;-;-;-;1;5;-;-;-;1;-;-;-;1;-;-;-;-;11
"28 Sergipe";1;-;-;-;-;2;-;-;-;-;-;-;-;1;2;1;1;1;-;-;2;-;1;12
"29 Bahia";3;-;1;-;2;1;2;2;3;2;7;-;1;-;2;2;6;1;1;1;1;-;1;39
"31 Minas Gerais";6;12;6;5;1;5;3;8;5;6;9;7;3;6;7;10;12;13;9;5;4;6;1;149
"32 Espírito Santo";2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3;-;-;1;9
"33 Rio de Janeiro";3;2;2;-;5;1;4;-;1;2;3;2;3;2;1;-;1;2;1;1;-;-;-;36
"35 São Paulo";-;-;-;-;-;-;8;7;9;10;9;12;8;12;8;6;5;3;11;2;127;9;4;250
"41 Paraná";1;2;1;3;1;2;3;3;4;2;9;7;15;3;9;8;4;3;1;-;-;1;2;84
"42 Santa Catarina";-;1;1;2;1;4;1;-;2;1;5;4;10;3;1;2;1;1;3;1;1;3;3;51
"43 Rio Grande do Sul";2;-;-;1;1;-;1;2;1;2;2;1;1;2;2;4;-;-;1;3;3;1;4;34
"50 Mato Grosso do Sul";-;-;-;-;1;-;-;2;-;-;-;-;1;2;-;-;1;-;-;-;1;1;2;11
"51 Mato Grosso";-;-;-;-;-;-;2;1;4;-;2;1;1;2;1;1;-;2;2;2;-;-;-;21
"52 Goiás";-;1;1;-;1;-;2;3;2;3;4;1;2;-;2;6;6;2;2;1;2;-;3;44
"53 Distrito Federal";-;-;-;-;-;-;-;-;1;1;1;3;-;-;-;-;-;1;-;-;1;-;-;8
"Total";27;30;29;21;25;21;36;40;41;38;69;52;64;57;48;60;49;46;44;33;158;36;32;1056
