UF,Região,Motocicletas e outros veículos de duas rodas,Automóveis de pequeno porte,Camionetes,Ônibus e caminhões,Outros
AC,Norte,52.458452584956504,30.910917916004987,11.08389632062014,3.4221851383318826,2.124548040086489
AP,Norte,39.35390711286642,42.05749255450361,13.753432663919101,3.1217365519078952,1.7134311168029703
AM,Norte,39.3403776801889,42.523139969003374,12.185990947789948,3.879812375092775,2.0706790279250025
PA,Norte,53.100499074622384,29.85419856812538,10.041597619673835,4.576665962078074,2.4270387755003253
RO,Norte,51.21949740402517,29.256155531509926,11.923377808118778,4.343633775655448,3.257335480690678
RR,Norte,43.46579581917257,35.387799274715675,15.495642598112742,3.686798686134159,1.9639636218648542
TO,Norte,45.74165225168616,31.71981852171516,11.821848897299132,5.018941103820361,5.697739225479185
AL,Nordeste,42.01570895785772,41.33517439302563,9.051264423165248,4.465053225383804,3.132799000567595
BA,Nordeste,36.73963049492059,43.86756233487797,11.906729439551295,4.932326692067984,2.553751038582164
CE,Nordeste,49.29674456162917,37.10850045532342,8.342677897426196,3.411892021884206,1.8401850637370056
MA,Nordeste,59.556988946631506,26.314372135980264,8.982658834325505,3.535236673631228,1.610743409431499
PB,Nordeste,45.56302756033974,41.227586994728746,8.772905400392734,3.2174410291189344,1.2190390154198456
PE,Nordeste,40.6928544262501,43.25065626413861,9.276731205606945,4.506967390912442,2.2727907130919025
PI,Nordeste,54.67740608303872,30.902263996777883,9.324207860975612,3.74195373841692,1.3541683207908615
RN,Nordeste,40.62460286777955,43.85249355558914,9.569364869366073,3.9158073004105427,2.037731406854686
SE,Nordeste,43.15144127980533,41.410730580523435,7.950623107204416,4.211649261396447,3.2755557710703687
ES,Sudeste,29.06916974957314,49.274909291405805,12.467540552077406,5.731938318155947,3.456442088787706
MG,Sudeste,25.13488685100634,54.86653000107531,12.456232817502467,4.69314982719547,2.849200503220422
RJ,Sudeste,18.767165232894698,66.24849190750108,9.935585605410099,3.4111952065299147,1.6375620476642174
SP,Sudeste,20.25200916193138,62.18117930804671,11.348119794045749,3.789504728721296,2.429187007254873
PR,Sul,19.55977823914794,58.29455899989564,12.600466073259906,5.623068352552879,3.9221283351436376
RS,Sul,17.80034131210743,60.78454768521519,12.249991422722543,4.995266613551082,4.169852966403758
SC,Sul,21.62440706609491,57.095019740192086,12.325526195886045,4.614899702147903,4.340147295679053
DF,Centro-Oeste,12.788461966524983,70.5702881886718,12.383342723459867,2.5405280004669506,1.717379120876403
GO,Centro-Oeste,29.740645299065328,46.877099049256586,12.361931956404721,4.475704141243242,6.5446195540301195
MT,Centro-Oeste,39.16752328442825,34.94050400274118,13.783914275924369,6.216085724075632,5.891972712830577
MS,Centro-Oeste,30.025352001525725,46.415152451789545,13.231048474605252,5.491782794836215,4.836664277243264
